threshold,query,vectorized_ms,jit_ms,speedup,jit_error
100,DSQ01,2.616,2.577,1.01513,false
100,DSQ02,5.73233,5.46533,1.04885,false
100,DSQ03,0.9,1.43867,0.625579,false
100,DSQ04,9.31467,13.5537,0.687243,false
100,DSQ05,7.15767,7.037,1.01715,false
100,DSQ06,5.355,5.427,0.986733,false
100,DSQ07,4.051,4.06,0.997783,false
100,DSQ08,6.62233,7.42033,0.892458,false
100,DSQ09,4.872,5.03633,0.96737,false
100,DSQ10,6.74533,8.21767,0.820833,false
100,DSQ11,8.31533,9.41633,0.883076,false
100,DSQ12,3.92433,3.78267,1.03745,false
100,DSQ13,5.18733,3.586,1.44655,false
100,DSQ14,8.34167,9.14267,0.912389,false
100,DSQ15,1.26867,1.45967,0.869148,false
100,DSQ16,1.77133,2.10667,0.840823,false
100,DSQ17,4.19767,4.12233,1.01827,false
100,DSQ18,4.043,3.676,1.09984,false
100,DSQ19,1.48867,1.48367,1.00337,false
100,DSQ20,1.957,1.56367,1.25155,false
100,DSQ21,1.309,1.8,0.727222,false
100,DSQ22,1.499,1.354,1.10709,false
100,DSQ23,5.354,5.287,1.01267,false
100,DSQ24,1.72267,1.71567,1.00408,false
100,DSQ25,3.115,2.88233,1.08072,false
100,DSQ26,2.12833,2.1,1.01349,false
100,DSQ27,2.51767,2.37933,1.05814,false
100,DSQ28,3.146,3.22167,0.976513,false
100,DSQ29,3.53767,3.74867,0.943713,false
100,DSQ30,2.00633,2.12433,0.944453,false
100,DSQ31,3.66333,3.35733,1.09114,false
100,DSQ32,0.953,0.984333,0.968168,false
100,DSQ33,2.693,2.56767,1.04881,false
100,DSQ34,1.982,1.842,1.076,false
100,DSQ35,3.73667,3.72467,1.00322,false
100,DSQ36,3.11667,3.13567,0.993941,false
100,DSQ37,0.813667,0.775,1.04989,false
100,DSQ38,2.338,2.334,1.00171,false
100,DSQ39,1.51133,1.78533,0.846527,false
100,DSQ40,1.339,1.34833,0.993078,false
100,DSQ41,2.75567,2.68433,1.02657,false
100,DSQ42,0.754,0.741667,1.01663,false
100,DSQ43,1.34733,1.38233,0.97468,false
100,DSQ44,1.15967,1.17467,0.98723,false
100,DSQ45,1.65367,1.75033,0.944772,false
100,DSQ46,2.25467,2.37067,0.951069,false
100,DSQ47,5.77833,5.62767,1.02677,false
100,DSQ48,2.88767,2.69433,1.07176,false
100,DSQ49,2.77333,2.602,1.06585,false
100,DSQ50,2.225,2.36967,0.938951,false
100,DSQ51,6.45167,6.23367,1.03497,false
100,DSQ52,0.753333,0.785667,0.958846,false
100,DSQ53,1.77333,1.74467,1.01643,false
100,DSQ54,2.39233,2.76133,0.866369,false
100,DSQ55,0.751,0.688,1.09157,false
100,DSQ56,2.833,2.882,0.982998,false
100,DSQ57,5.32333,5.26433,1.01121,false
100,DSQ58,4.14267,4.01233,1.03248,false
100,DSQ59,6.32,6.201,1.01919,false
100,DSQ60,3.01333,3.55133,0.848508,false
100,DSQ61,2.532,2.28967,1.10584,false
100,DSQ62,1.94367,2.22067,0.875263,false
100,DSQ63,1.87733,1.82767,1.02717,false
100,DSQ64,7.75733,8.29667,0.934994,false
100,DSQ65,1.94133,1.517,1.27972,false
100,DSQ66,6.42633,6.57767,0.976993,false
100,DSQ67,5.033,4.57433,1.10027,false
100,DSQ68,1.95967,2.03,0.965353,false
100,DSQ69,3.75833,3.84833,0.976613,false
100,DSQ70,2.305,2.42767,0.949471,false
100,DSQ71,1.94067,2.016,0.962632,false
100,DSQ72,6.13633,5.80767,1.05659,false
100,DSQ73,1.77933,1.76367,1.00888,false
100,DSQ74,3.299,3.45467,0.95494,false
100,DSQ75,4.05067,4.23567,0.956323,false
100,DSQ76,1.574,1.574,1,false
100,DSQ77,3.67167,3.47467,1.0567,false
100,DSQ78,3.94967,3.64933,1.0823,false
100,DSQ79,1.67967,1.655,1.0149,false
100,DSQ80,4.47667,4.397,1.01812,false
100,DSQ81,2.25333,2.396,0.940456,false
100,DSQ82,0.809667,0.728667,1.11116,false
100,DSQ83,2.99333,2.71767,1.10144,false
100,DSQ84,1.13567,1.18233,0.96053,false
100,DSQ85,3.681,4.01367,0.917117,false
100,DSQ86,2.09067,4.11933,0.507525,false
100,DSQ87,2.72267,2.50733,1.08588,false
100,DSQ88,12.9923,12.6203,1.02948,false
100,DSQ89,1.87767,1.802,1.04199,false
100,DSQ90,1.244,1.232,1.00974,false
100,DSQ91,2.27967,1.87033,1.21886,false
100,DSQ92,1.26733,1.08433,1.16877,false
100,DSQ93,0.523,0.488333,1.07099,false
100,DSQ94,1.55567,1.59,0.978407,false
100,DSQ95,2.49867,2.33133,1.07178,false
100,DSQ96,0.672667,0.720667,0.933395,false
100,DSQ97,1.64667,1.372,1.20019,false
100,DSQ98,1.65667,1.622,1.02137,false
100,DSQ99,1.81867,1.96533,0.925373,false
1000,DSQ01,1.467,1.51633,0.967465,false
1000,DSQ02,3.784,4.14233,0.913495,false
1000,DSQ03,0.56,0.573667,0.976177,false
1000,DSQ04,6.38267,7.038,0.906886,false
1000,DSQ05,3.47867,3.64067,0.955503,false
1000,DSQ06,2.42,2.74633,0.881175,false
1000,DSQ07,2.09467,1.86467,1.12335,false
1000,DSQ08,3.381,3.41767,0.989271,false
1000,DSQ09,2.62333,2.57967,1.01693,false
1000,DSQ10,3.86367,4.20333,0.919191,false
1000,DSQ11,4.312,4.67767,0.921827,false
1000,DSQ12,1.76867,1.85533,0.953288,false
1000,DSQ13,3.43367,3.54,0.969962,false
1000,DSQ14,8.76967,8.498,1.03197,false
1000,DSQ15,1.48267,1.40467,1.05553,false
1000,DSQ16,1.99533,2.19467,0.909174,false
1000,DSQ17,4.34733,4.124,1.05415,false
1000,DSQ18,3.64333,3.47567,1.04824,false
1000,DSQ19,1.47733,1.45833,1.01303,false
1000,DSQ20,1.66,1.641,1.01158,false
1000,DSQ21,1.52433,1.36167,1.11946,false
1000,DSQ22,1.447,1.834,0.788986,false
1000,DSQ23,5.71233,5.56133,1.02715,false
1000,DSQ24,2.073,1.912,1.08421,false
1000,DSQ25,3.14233,3.42933,0.91631,false
1000,DSQ26,1.92967,1.87833,1.02733,false
1000,DSQ27,2.70567,2.48767,1.08763,false
1000,DSQ28,3.48567,3.47267,1.00374,false
1000,DSQ29,3.878,3.75967,1.03147,false
1000,DSQ30,2.20933,2.903,0.761052,false
1000,DSQ31,3.89567,3.53533,1.10192,false
1000,DSQ32,1.00133,1.01,0.991419,false
1000,DSQ33,3.06333,2.78933,1.09823,false
1000,DSQ34,1.91,2.122,0.900094,false
1000,DSQ35,3.80567,3.59967,1.05723,false
1000,DSQ36,3.25267,3.26033,0.997649,false
1000,DSQ37,0.823,0.783333,1.05064,false
1000,DSQ38,2.51267,2.25967,1.11196,false
1000,DSQ39,1.58133,1.52433,1.03739,false
1000,DSQ40,1.62933,1.36067,1.19745,false
1000,DSQ41,3.252,2.82167,1.15251,false
1000,DSQ42,0.861,0.771333,1.11625,false
1000,DSQ43,1.36833,1.52733,0.895897,false
1000,DSQ44,1.14967,1.11667,1.02955,false
1000,DSQ45,2.19667,2.008,1.09396,false
1000,DSQ46,2.89833,2.36367,1.2262,false
1000,DSQ47,5.778,7.74033,0.746479,false
1000,DSQ48,2.932,2.80767,1.04428,false
1000,DSQ49,2.90067,2.865,1.01245,false
1000,DSQ50,2.323,2.30967,1.00577,false
1000,DSQ51,6.73667,6.81,0.989232,false
1000,DSQ52,4.70667,5.81867,0.808891,false
1000,DSQ53,2.67,3.227,0.827394,false
1000,DSQ54,2.746,2.36833,1.15947,false
1000,DSQ55,0.781,0.826,0.945521,false
1000,DSQ56,3.14933,3.02067,1.0426,false
1000,DSQ57,5.31433,7.06667,0.752028,false
1000,DSQ58,4.03,3.75467,1.07333,false
1000,DSQ59,5.706,6.221,0.917216,false
1000,DSQ60,3.02,2.94433,1.0257,false
1000,DSQ61,2.383,2.371,1.00506,false
1000,DSQ62,1.867,2.11233,0.883857,false
1000,DSQ63,1.77667,2.02467,0.877511,false
1000,DSQ64,7.33033,7.389,0.99206,false
1000,DSQ65,1.545,1.671,0.924596,false
1000,DSQ66,6.88333,6.558,1.04961,false
1000,DSQ67,5.396,4.754,1.13504,false
1000,DSQ68,1.977,1.92067,1.02933,false
1000,DSQ69,3.94867,4.274,0.923881,false
1000,DSQ70,2.448,2.51633,0.972844,false
1000,DSQ71,1.93833,2.021,0.959096,false
1000,DSQ72,5.89533,5.82133,1.01271,false
1000,DSQ73,1.90267,1.76533,1.07779,false
1000,DSQ74,3.52167,3.274,1.07565,false
1000,DSQ75,4.198,4.21933,0.994944,false
1000,DSQ76,1.694,1.60767,1.0537,false
1000,DSQ77,3.76033,3.431,1.09599,false
1000,DSQ78,3.942,3.934,1.00203,false
1000,DSQ79,1.88133,1.905,0.987577,false
1000,DSQ80,4.601,4.469,1.02954,false
1000,DSQ81,2.339,2.423,0.965332,false
1000,DSQ82,1.06367,1.01833,1.04452,false
1000,DSQ83,3.248,3.07633,1.0558,false
1000,DSQ84,1.17167,1.22233,0.958549,false
1000,DSQ85,3.63067,3.738,0.971286,false
1000,DSQ86,2.249,2.34633,0.958517,false
1000,DSQ87,2.801,3.07267,0.911586,false
1000,DSQ88,13.5787,12.837,1.05778,false
1000,DSQ89,1.919,1.84333,1.04105,false
1000,DSQ90,1.51033,1.38933,1.08709,false
1000,DSQ91,2.12033,2.18367,0.970997,false
1000,DSQ92,1.24533,1.313,0.948464,false
1000,DSQ93,0.637333,0.589333,1.08145,false
1000,DSQ94,1.99767,2.164,0.923136,false
1000,DSQ95,2.64467,2.51367,1.05212,false
1000,DSQ96,0.752,0.746667,1.00714,false
1000,DSQ97,1.53367,1.54967,0.989675,false
1000,DSQ98,2.23367,1.90867,1.17028,false
1000,DSQ99,2.02933,2.22333,0.912744,false
10000,DSQ01,1.713,1.67233,1.02432,false
10000,DSQ02,5.03467,4.25733,1.18259,false
10000,DSQ03,0.719667,0.732667,0.982257,false
10000,DSQ04,7.83567,9.51633,0.823391,false
10000,DSQ05,4.52167,4.06,1.11371,false
10000,DSQ06,2.99733,3.02,0.992494,false
10000,DSQ07,2.36967,2.525,0.938482,false
10000,DSQ08,4.05033,3.75933,1.07741,false
10000,DSQ09,3.062,3.107,0.985517,false
10000,DSQ10,4.175,4.41367,0.945926,false
10000,DSQ11,4.88333,6.218,0.785354,false
10000,DSQ12,2.21433,1.87067,1.18371,false
10000,DSQ13,4.19733,3.667,1.14462,false
10000,DSQ14,10.3307,9.78767,1.05548,false
10000,DSQ15,1.43133,1.673,0.855549,false
10000,DSQ16,2.20667,2.26467,0.974389,false
10000,DSQ17,5.336,4.615,1.15623,false
10000,DSQ18,4.102,3.95533,1.03708,false
10000,DSQ19,1.577,1.88967,0.834539,false
10000,DSQ20,1.72367,1.675,1.02905,false
10000,DSQ21,1.50467,1.584,0.949916,false
10000,DSQ22,1.85067,1.53967,1.20199,false
10000,DSQ23,6.625,6.022,1.10013,false
10000,DSQ24,2.332,2.062,1.13094,false
10000,DSQ25,3.54833,3.81267,0.93067,false
10000,DSQ26,2.476,2.10933,1.17383,false
10000,DSQ27,3.144,2.93267,1.07206,false
10000,DSQ28,3.51767,3.52533,0.997825,false
10000,DSQ29,4.25267,4.05633,1.0484,false
10000,DSQ30,2.42467,2.335,1.0384,false
10000,DSQ31,4.107,3.97267,1.03381,false
10000,DSQ32,1.206,1.259,0.957903,false
10000,DSQ33,3.33733,3.935,0.848115,false
10000,DSQ34,2.23833,2.22467,1.00614,false
10000,DSQ35,4.03567,4.42233,0.912565,false
10000,DSQ36,3.798,3.06267,1.2401,false
10000,DSQ37,0.913333,0.943667,0.967856,false
10000,DSQ38,2.74933,2.49633,1.10135,false
10000,DSQ39,1.70233,1.66633,1.0216,false
10000,DSQ40,1.374,1.598,0.859825,false
10000,DSQ41,2.91867,3.12767,0.933177,false
10000,DSQ42,0.857,0.914667,0.936953,false
10000,DSQ43,1.50467,1.50767,0.99801,false
10000,DSQ44,1.79633,1.271,1.41332,false
10000,DSQ45,2.45567,1.803,1.36199,false
10000,DSQ46,2.53233,2.35967,1.07317,false
10000,DSQ47,6.36667,6.01833,1.05788,false
10000,DSQ48,3.27033,3.10967,1.05167,false
10000,DSQ49,2.97933,2.90167,1.02677,false
10000,DSQ50,2.33433,2.23267,1.04554,false
10000,DSQ51,6.62167,6.98667,0.947758,false
10000,DSQ52,0.911,1.10233,0.826429,false
10000,DSQ53,1.99467,1.881,1.06043,false
10000,DSQ54,2.843,2.67733,1.06188,false
10000,DSQ55,1.65867,1.67333,0.991235,false
10000,DSQ56,3.438,3.088,1.11334,false
10000,DSQ57,5.599,5.17133,1.0827,false
10000,DSQ58,3.91733,3.65333,1.07226,false
10000,DSQ59,6.27967,6.46367,0.971533,false
10000,DSQ60,3.204,3.24967,0.985947,false
10000,DSQ61,2.562,3.13733,0.816617,false
10000,DSQ62,2.059,1.93667,1.06317,false
10000,DSQ63,1.87333,1.92133,0.975017,false
10000,DSQ64,7.73933,7.514,1.02999,false
10000,DSQ65,1.607,1.60133,1.00354,false
10000,DSQ66,6.728,7.036,0.956225,false
10000,DSQ67,5.18133,4.966,1.04336,false
10000,DSQ68,2.16267,2.01233,1.07471,false
10000,DSQ69,4.182,4.204,0.994767,false
10000,DSQ70,2.58,2.427,1.06304,false
10000,DSQ71,2.377,2.01667,1.17868,false
10000,DSQ72,6.28567,6.067,1.03604,false
10000,DSQ73,2.71633,1.91267,1.42018,false
10000,DSQ74,3.54667,3.636,0.975431,false
10000,DSQ75,4.59567,4.47467,1.02704,false
10000,DSQ76,1.852,1.67967,1.1026,false
10000,DSQ77,3.99933,3.76967,1.06092,false
10000,DSQ78,4.25133,4.45,0.955356,false
10000,DSQ79,2.24,1.80433,1.24146,false
10000,DSQ80,4.74667,4.95433,0.958084,false
10000,DSQ81,2.54867,2.63067,0.968829,false
10000,DSQ82,0.927,0.864667,1.07209,false
10000,DSQ83,3.41067,3.28567,1.03804,false
10000,DSQ84,1.32833,1.23467,1.07586,false
10000,DSQ85,4.07633,3.93533,1.03583,false
10000,DSQ86,2.176,2.05033,1.06129,false
10000,DSQ87,2.93667,3.03667,0.967069,false
10000,DSQ88,13.6627,13.4253,1.01768,false
10000,DSQ89,1.95533,1.836,1.065,false
10000,DSQ90,1.40733,1.37,1.02725,false
10000,DSQ91,2.11667,2.29467,0.922429,false
10000,DSQ92,1.25367,1.283,0.977137,false
10000,DSQ93,0.623667,0.591667,1.05408,false
10000,DSQ94,1.77233,2,0.886167,false
10000,DSQ95,2.44833,2.60433,0.9401,false
10000,DSQ96,0.765333,0.742667,1.03052,false
10000,DSQ97,1.70333,1.49533,1.1391,false
10000,DSQ98,2.02833,1.833,1.10656,false
10000,DSQ99,1.877,3.27567,0.573013,false
